architecture,seed,n_params,final_loss,final_rel_l2,mean_abs_error,max_abs_error,wall_time_s,time_per_epoch_ms
MLP,0,921,0.0022483342327177525,0.008600757457315922,19.53771721094522,470.697265625,36.69625900000028,12.232086333333427
MLP,1,921,0.0018211714923381805,0.005727821495383978,11.259921312930851,451.587890625,24.012545399999,8.004181799999666
MLP,2,921,0.001687131356447935,0.007123135961592197,17.268787533353116,424.9365234375,44.10585319999882,14.701951066666274
MLP,3,921,0.0016943742521107197,0.006934269331395626,13.77424648309996,530.3671875,23.575118999999177,7.858372999999726
MLP,4,921,0.0014039080124348402,0.00792852696031332,18.939560145487516,420.3564453125,25.841565500000797,8.613855166666932
KAN,0,900,0.0005816927878186107,0.0033241219352930784,5.0959227198631964,353.4765625,557.2038051,185.7346017
KAN,1,900,0.0006805707234889269,0.00527728209272027,13.681731527240794,353.1640625,525.8578701999995,175.2859567333332
KAN,2,900,0.0007473282748833299,0.004140680190175772,8.403239254479104,345.9052734375,467.0240561999999,155.67468539999996
KAN,3,900,0.00046566917444579303,0.004960274323821068,12.387779793993687,412.482421875,478.12856479999937,159.37618826666645
KAN,4,900,0.0005000581149943173,0.005589555483311415,15.516243239140284,294.3134765625,491.34505060000083,163.78168353333362
